"eta 0.15","","eras 100","","","","","",""
"Número","positive","negative","false positive","false negative","accuracy","precision","recall","true_negative"
"0","790","8595","225","190","0.9576530612244898","0.7783251231527094","0.8061224489795918","0.9744897959183674"
"1","1103","9881","334","32","0.9677533039647577","0.767571329157968","0.9718061674008811","0.9673029858051885"
"2","560","8982","306","472","0.9246124031007752","0.6466512702078522","0.5426356589147286","0.9670542635658915"
"3","876","8975","115","134","0.9753465346534653","0.8839556004036327","0.8673267326732673","0.9873487348734874"
"4","707","8433","405","275","0.9307535641547862","0.6357913669064749","0.719959266802444","0.9541751527494908"
"5","381","7606","422","511","0.8954035874439462","0.47447073474470736","0.42713004484304934","0.9474339810662681"
"6","923","8530","92","35","0.9867432150313152","0.90935960591133","0.9634655532359081","0.9893296218974715"
"7","918","8957","295","110","0.960603112840467","0.7568013190436933","0.8929961089494164","0.9681150021616948"
"8","532","8650","116","442","0.9427104722792607","0.8209876543209876","0.5462012320328542","0.9867670545288615"
"9","909","9003","78","100","0.9823587710604559","0.9209726443768997","0.9008919722497523","0.9914106375949785"
"eta 0.2","","eras 100","","","","","",""
"Número","positive","negative","false positive","false negative","accuracy","precision","recall","true_negative"
"0","844","8686","134","136","0.9724489795918367","0.8629856850715747","0.8612244897959184","0.9848072562358277"
"1","1048","9967","248","87","0.9704845814977974","0.808641975308642","0.9233480176211454","0.9757219774840921"
"2","432","8969","319","600","0.9109496124031008","0.5752330226364847","0.4186046511627907","0.9656546080964685"
"3","916","9007","83","94","0.9824752475247525","0.9169169169169169","0.906930693069307","0.9908690869086909"
"4","610","8512","326","372","0.9289205702647658","0.6517094017094017","0.6211812627291242","0.9631138266576148"
"5","237","7725","303","655","0.8926008968609865","0.4388888888888889","0.265695067264574","0.9622571001494769"
"6","913","8568","54","45","0.9896659707724426","0.9441571871768356","0.9530271398747391","0.9937369519832986"
"7","817","8928","324","211","0.9479571984435797","0.7160385626643295","0.7947470817120622","0.9649805447470817"
"8","385","8645","121","589","0.9271047227926078","0.7608695652173914","0.3952772073921971","0.986196668948209"
"9","898","9035","46","111","0.9844400396432111","0.951271186440678","0.889990089197225","0.994934478581654"
"eta 0.3","","eras 100","","","","","",""
"Número","positive","negative","false positive","false negative","accuracy","precision","recall","true_negative"
"0","930","8651","169","50","0.9776530612244898","0.8462238398544131","0.9489795918367347","0.9808390022675737"
"1","1099","9689","526","36","0.9504845814977974","0.6763076923076923","0.9682819383259912","0.9485070974057758"
"2","624","9006","282","408","0.9331395348837209","0.6887417218543046","0.6046511627906976","0.9696382428940569"
"3","921","8989","101","89","0.9811881188118812","0.901174168297456","0.9118811881188119","0.9888888888888889"
"4","558","8539","299","424","0.9263747454175153","0.6511085180863477","0.5682281059063137","0.9661688164743154"
"5","334","7581","447","558","0.8873318385650224","0.42765685019206146","0.3744394618834081","0.9443198804185351"
"6","916","8515","107","42","0.984446764091858","0.895405669599218","0.9561586638830898","0.9875898863372767"
"7","898","8982","270","130","0.9610894941634242","0.7688356164383562","0.8735408560311284","0.9708171206225681"
"8","559","8614","152","415","0.9417864476386036","0.7862165963431786","0.5739219712525667","0.9826602783481634"
"9","849","8974","107","160","0.9735381565906839","0.8880753138075314","0.8414271555996036","0.9882171567008039"
